section,title,disposition,implementation_or_preservation,remaining_work
34,IMPLEMENTATION REQUIREMENT — REPRESENTATION IDENTITY,PARTIAL_EXECUTABLE_CONTROL,REPRESENT provenance; unique ids,Semantic and aggregate qualification remain required
35,IMPLEMENTATION REQUIREMENT — EXTERNAL FUNCTION BOUNDARY,PARTIAL_EXECUTABLE_CONTROL,apply_function on detached copy,Semantic and aggregate qualification remain required
36,IMPLEMENTATION REQUIREMENT — EVIDENCE CEILING,PARTIAL_EXECUTABLE_CONTROL,QUALIFY ceiling and observation references,Semantic and aggregate qualification remain required
37,IMPLEMENTATION REQUIREMENT — NON-ENUMERATION,PARTIAL_EXECUTABLE_CONTROL,zero representations accepted,Semantic and aggregate qualification remain required
38,IMPLEMENTATION REQUIREMENT — ECONOMY OF REPRESENTATION,PARTIAL_EXECUTABLE_CONTROL,NEED receipt linkage,Semantic and aggregate qualification remain required
39,IMPLEMENTATION REQUIREMENT — NO MECHANISM MANUFACTURE,PARTIAL_EXECUTABLE_CONTROL,no collapse operation; mechanism UNRESOLVED,Semantic and aggregate qualification remain required
40,IMPLEMENTATION REQUIREMENT — RECURSIVE SAFETY,PARTIAL_EXECUTABLE_CONTROL,same qualification controls for recursive Question,Semantic and aggregate qualification remain required
41,IMPLEMENTATION REQUIREMENT — HISTORICAL RETRAVERSABILITY,PARTIAL_EXECUTABLE_CONTROL,ordered events; receipt roles; previous comparison,Semantic and aggregate qualification remain required
42,FAILURE CONDITIONS,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
43,REQUIRED RECIPROCAL DEFENSES,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
44,PRESERVED DISTINCTIONS,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
45,UNRESOLVED SURFACE,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
46,CURRENT FULL DEVELOPMENTAL OBJECT,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
47,DEVELOPMENTAL CONSEQUENCE,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
48,IMPLEMENTATION INTENT,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
49,SUCCESS CONDITION,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
50,CR STANDING,PRESERVED_SOURCE,Full source section retained; contract boundaries and unresolved register apply,Semantic and aggregate qualification remain required
